"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2019","231.36","231.30","232.40","229.49","17.22M","0.91%"
"Jun 28, 2019","229.28","228.14","230.06","226.68","24.82M","0.94%"
"Jun 27, 2019","227.14","227.44","227.98","225.50","15.23M","-0.11%"
"Jun 26, 2019","227.39","225.31","227.95","222.76","21.97M","2.03%"
"Jun 25, 2019","222.87","221.53","226.16","220.85","24.72M","1.01%"
"Jun 24, 2019","220.65","221.80","222.53","219.06","19.18M","-0.72%"
"Jun 21, 2019","222.24","221.85","223.38","221.44","28.29M","0.19%"
"Jun 20, 2019","221.82","225.84","227.83","221.34","28.65M","-0.45%"
"Jun 19, 2019","222.83","220.50","224.26","220.50","40.27M","2.47%"
"Jun 18, 2019","217.46","210.88","219.78","210.72","27.61M","4.37%"
"Jun 17, 2019","208.35","209.99","211.10","205.77","16.76M","-1.03%"
"Jun 14, 2019","210.51","212.42","212.44","209.84","14.19M","-1.23%"
"Jun 13, 2019","213.13","210.51","213.77","209.85","16.09M","1.77%"
"Jun 12, 2019","209.42","210.39","211.13","208.86","14.67M","-0.91%"
"Jun 11, 2019","211.35","209.76","213.29","209.71","21.52M","1.81%"
"Jun 10, 2019","207.59","208.78","210.68","207.27","21.09M","0.28%"
"Jun 07, 2019","207.02","205.94","207.84","203.33","25.19M","0.67%"
"Jun 06, 2019","205.65","205.79","207.11","203.34","19.81M","-0.08%"
"Jun 05, 2019","205.81","206.26","206.26","203.07","23.81M","-0.01%"
"Jun 04, 2019","205.84","203.53","206.46","202.51","27.50M","2.21%"
"Jun 03, 2019","201.38","194.92","201.80","194.82","25.80M","3.36%"
"May 31, 2019","194.84","195.09","197.56","193.66","28.46M","-2.36%"
"May 30, 2019","199.55","202.59","204.90","198.94","31.30M","-2.40%"
"May 29, 2019","204.46","203.45","204.93","201.84","24.90M","-0.73%"
"May 28, 2019","205.96","207.70","208.07","204.90","18.91M","-0.65%"
"May 24, 2019","207.30","209.71","210.63","207.00","16.81M","-0.06%"
"May 23, 2019","207.42","210.36","210.65","206.09","27.35M","-3.55%"
"May 22, 2019","215.05","219.09","219.59","213.91","26.25M","-2.48%"
"May 21, 2019","220.52","217.15","222.00","216.78","17.44M","2.30%"
"May 20, 2019","215.56","217.32","218.55","215.15","18.07M","-1.62%"
"May 17, 2019","219.12","222.07","222.07","217.28","28.24M","-2.54%"
"May 16, 2019","224.83","225.97","227.30","224.41","14.11M","-0.00%"
"May 15, 2019","224.84","221.24","225.31","220.06","16.38M","-0.05%"
"May 14, 2019","224.96","223.29","226.09","222.40","17.31M","1.23%"
"May 13, 2019","222.22","228.51","228.51","219.72","25.97M","-4.49%"
"May 10, 2019","232.67","231.13","233.45","228.82","17.34M","0.31%"
"May 09, 2019","231.94","228.35","232.69","226.82","20.63M","0.27%"
"May 08, 2019","231.32","229.49","234.57","229.35","27.33M","0.01%"
"May 07, 2019","231.30","232.88","234.36","229.27","24.47M","-1.78%"
"May 06, 2019","235.48","235.35","237.03","232.90","28.30M","-1.53%"
"May 03, 2019","239.13","231.94","240.11","231.76","50.97M","4.37%"
"May 02, 2019","229.12","227.48","230.88","226.66","32.53M","0.01%"
"May 01, 2019","229.10","233.71","233.93","228.93","15.62M","-1.92%"
"Apr 30, 2019","233.59","234.23","234.59","231.84","17.08M","-0.26%"
"Apr 29, 2019","234.21","231.58","234.45","231.58","14.75M","0.83%"
"Apr 26, 2019","232.29","232.91","234.37","231.82","16.34M","-0.40%"
"Apr 25, 2019","233.23","235.55","237.14","231.87","19.35M","-1.16%"
"Apr 24, 2019","235.97","237.23","238.79","235.92","20.94M","-0.80%"
"Apr 23, 2019","237.88","233.67","239.35","233.67","26.01M","1.67%"
"Apr 22, 2019","233.97","237.33","237.57","233.17","18.72M","-1.77%"
"Apr 18, 2019","238.19","240.02","241.09","236.65","20.96M","-0.95%"
"Apr 17, 2019","240.48","242.34","245.50","240.34","20.78M","-0.12%"
"Apr 16, 2019","240.78","239.80","240.99","239.04","13.39M","0.65%"
"Apr 15, 2019","239.22","240.15","241.07","238.18","15.02M","-0.44%"
"Apr 12, 2019","240.27","241.42","241.63","237.63","20.69M","0.42%"
"Apr 11, 2019","239.27","241.42","241.96","238.07","24.99M","-1.14%"
"Apr 10, 2019","242.02","243.80","244.38","240.67","26.44M","-0.52%"
"Apr 09, 2019","243.29","248.44","248.44","242.78","34.18M","-3.05%"
"Apr 08, 2019","250.95","252.15","252.27","248.08","16.34M","-0.58%"
"Apr 05, 2019","252.41","251.18","253.74","250.91","16.22M","0.76%"
"Apr 04, 2019","250.51","249.60","250.69","248.29","13.16M","0.48%"
"Apr 03, 2019","249.32","248.99","251.78","248.07","16.98M","1.16%"
"Apr 02, 2019","246.45","248.37","248.48","244.54","14.28M","-0.46%"
"Apr 01, 2019","247.60","245.43","247.72","244.45","17.39M","2.31%"
"Mar 29, 2019","242.02","240.97","244.03","240.76","16.35M","1.28%"
"Mar 28, 2019","238.97","238.42","239.62","236.16","12.43M","0.30%"
"Mar 27, 2019","238.25","236.27","238.64","234.82","14.17M","0.92%"
"Mar 26, 2019","236.08","237.02","238.69","234.09","13.37M","0.51%"
"Mar 25, 2019","234.89","234.36","237.12","232.10","13.29M","0.26%"
"Mar 22, 2019","234.27","242.44","242.59","233.62","25.37M","-4.38%"
"Mar 21, 2019","245.01","239.32","246.12","238.75","17.62M","1.84%"
"Mar 20, 2019","240.58","242.87","242.87","236.43","17.88M","-0.91%"
