invoice_risk_decision,customer,invoice_date_year,invoice_date_quarter,invoice_date_month,invoice_date_week,invoice_date_day_year,invoice_date_day_month,invoice_date_day_week,payment_due_date_year,payment_due_date_quarter,payment_due_date_month,payment_due_date_week,payment_due_date_day_year,payment_due_date_day_month,payment_due_date_day_week,payment_date_year,payment_date_quarter,payment_date_month,payment_date_week,payment_date_day_year,payment_date_day_month,payment_date_day_week,grand_total
0,24_customer,2017,4,11,46,318,14,2,2017,4,11,46,320,16,4,2017,4,11,46,320,16,4,64.25
0,11_customer,2017,4,11,46,318,14,2,2017,4,11,46,321,17,5,2017,4,11,46,321,17,5,50.34
0,29_customer,2017,4,12,49,338,4,1,2017,4,12,49,342,8,5,2017,4,12,49,342,8,5,40.03
0,28_customer,2017,4,12,49,338,4,1,2017,4,12,49,342,8,5,2017,4,12,49,340,6,3,94.86
0,13_customer,2017,4,12,49,340,6,3,2017,4,12,49,342,8,5,2017,4,12,50,348,14,4,65.15
0,24_customer,2017,4,12,49,342,8,5,2017,4,12,50,345,11,1,2017,4,12,50,344,10,7,16.67
0,4_customer,2017,4,12,50,348,14,4,2017,4,12,50,348,14,4,2017,4,12,50,348,14,4,52.34
0,2_customer,2017,4,12,50,344,10,7,2017,4,12,51,356,22,5,2018,1,1,1,4,4,4,24.2
0,21_customer,2017,4,12,51,355,21,4,2018,1,1,4,22,22,1,2018,1,1,4,27,27,6,60.26
0,3_customer,2018,1,1,3,19,19,5,2018,1,2,6,39,8,4,2018,1,2,5,35,4,7,55.54
0,21_customer,2018,1,1,4,22,22,1,2018,1,2,8,52,21,3,2018,1,2,8,52,21,3,63.77
1,24_customer,2018,1,1,5,30,30,2,2018,1,2,5,33,2,5,2018,1,2,5,35,4,7,21.13
0,39_customer,2018,1,3,10,64,5,1,2018,1,3,10,67,8,4,2018,1,3,10,65,6,2,18.78
0,41_customer,2018,2,4,14,96,6,5,2018,2,4,17,117,27,5,2018,2,4,15,101,11,3,25.7
1,19_customer,2018,2,4,16,109,19,4,2018,2,5,19,131,11,5,2018,2,5,21,147,27,7,46.46
1,4_customer,2018,2,5,20,136,16,3,2018,2,5,20,136,16,3,2018,2,5,21,141,21,1,51.84
1,41_customer,2018,2,5,22,150,30,3,2018,2,5,22,151,31,4,2018,2,6,22,154,3,7,25.89
0,4_customer,2018,3,9,39,270,27,4,2018,3,9,39,271,28,5,2018,3,9,39,273,30,7,67.68
0,48_customer,2018,3,9,36,248,5,3,2018,3,9,36,248,5,3,2018,3,9,36,248,5,3,88.57
0,11_customer,2018,3,9,36,247,4,2,2018,3,9,36,250,7,5,2018,3,9,36,250,7,5,300.15
1,48_customer,2018,3,9,37,255,12,3,2018,3,9,39,269,26,3,2018,4,10,41,282,9,2,35.82
1,11_customer,2018,3,9,37,254,11,2,2018,3,9,37,257,14,5,2018,3,9,38,260,17,1,406.17
0,44_customer,2018,4,10,40,278,5,5,2018,4,10,42,289,16,2,2018,4,10,41,285,12,5,53.72
0,48_customer,2018,4,10,40,275,2,2,2018,4,10,42,289,16,2,,,,,,,,89.54
