invoice_risk_decision,customer,payment_due_date,payment_date,grand_total
0,id_24,2,2,64.25
0,id_11,3,3,50.34
0,id_29,4,4,40.03
0,id_28,4,2,94.86
1,id_13,2,8,65.15
0,id_24,3,2,16.67
0,id_4,0,0,52.34
1,id_2,12,25,24.2
0,id_21,1,6,60.26
0,id_3,20,16,55.54
0,id_21,30,30,63.77
1,id_24,3,5,21.13
0,id_39,3,1,18.78
0,id_41,21,5,25.7
0,id_19,22,8,46.46
1,id_4,0,5,51.84
1,id_41,1,4,25.89
1,id_4,1,3,67.68
0,id_48,0,0,88.57
0,id_11,3,3,300.15
1,id_48,14,27,35.82
1,id_11,3,6,406.17
0,id_44,11,7,53.72
0,id_48,14,0,89.54
0,id_36,14,2,26.38
0,id_50,20,0,22.07
0,id_19,2,1,32.79
0,id_19,16,12,68.99
1,id_11,3,6,165.09
1,id_49,14,21,42.4
0,id_29,0,0,32.67
0,id_19,2,0,40.29
0,id_50,21,0,53.24
0,id_50,21,0,43.8
0,id_50,21,0,35.82
0,id_50,20,0,60.98
0,id_50,20,0,51.55
0,id_50,20,0,56.27
1,id_11,3,4,367.82
1,id_11,3,6,374.06
0,id_47,15,0,143.26
0,id_13,11,0,121.33
0,id_11,3,3,363.94
0,id_37,4,2,42.65
0,id_39,5,0,128.67
0,id_6,30,12,185.94
0,id_4,0,0,14.85
1,id_9,0,9,141.33
1,id_3,9,17,10.77
0,id_2,9,9,40.26
1,id_6,0,28,170.43
0,id_2,7,9,27.95
0,id_11,0,3,56.53
0,id_21,2,2,37.15
0,id_11,3,5,38.72
0,id_4,0,1,23.24
0,id_8,14,2,63.32
1,id_2,14,25,18.63
1,id_3,14,25,26.98
0,id_4,0,0,60.61
0,id_11,5,6,75.89
0,id_11,5,5,74.34
1,id_4,0,4,30.03
1,id_4,0,3,50.18
0,id_3,14,10,26.15
0,id_14,21,11,135.04
0,id_11,4,7,36.4
0,id_7,14,13,42.83
0,id_24,4,3,28.89
0,id_11,3,5,78.99
